x,y,Grade,id.x,label,na.x,Race,School,Sex,size,vertex.names,xend,yend,id.y,na.y
0.2736704002105278,0.4330451749904407,11,1,1,FALSE,White,1,Male,8.0,1,0.2736704002105278,0.4330451749904407,NA,NA
0.32223911810071376,0.6533149438496318,9,2,2,FALSE,White,1,Female,11.0,2,0.32223911810071376,0.6533149438496318,NA,NA
0.4828321266319764,0.40185012030924105,12,3,3,FALSE,White,1,Female,10.0,3,0.4828321266319764,0.40185012030924105,NA,NA
0.3395815682335174,0.6043084978702574,10,4,4,FALSE,White,1,Female,13.0,4,0.3395815682335174,0.6043084978702574,NA,NA
0.4063985120331064,0.2305208576182191,12,5,5,FALSE,White,1,Female,2.0,5,0.4063985120331064,0.2305208576182191,NA,NA
0.38488478445735325,0.7380841497201819,11,6,6,FALSE,White,1,Female,6.0,6,0.38488478445735325,0.7380841497201819,NA,NA
0.2749737645309254,0.3522353459525976,11,7,7,FALSE,White,1,Male,5.0,7,0.2749737645309254,0.3522353459525976,NA,NA
0.46620991760825153,0.45093142973953004,9,8,8,FALSE,White,1,Male,7.0,8,0.46620991760825153,0.45093142973953004,NA,NA
0.22802428503584565,0.5724685423279294,10,9,9,FALSE,White,1,Male,16.0,9,0.22802428503584565,0.5724685423279294,NA,NA
0.22246359479949893,0.45330861081464685,11,10,10,FALSE,White,1,Male,7.0,10,0.22246359479949893,0.45330861081464685,NA,NA
0.6596719701641686,0.7460580059992818,10,11,11,FALSE,Other,1,Female,2.0,11,0.6596719701641686,0.7460580059992818,NA,NA
0.28370982426871705,0.5358472414997613,12,12,12,FALSE,White,1,Female,14.0,12,0.28370982426871705,0.5358472414997613,NA,NA
0.4520770015803654,0.44355225833260725,10,13,13,FALSE,White,1,Female,15.0,13,0.4520770015803654,0.44355225833260725,NA,NA
0.5502884485117466,0.6556922185631848,8,14,14,FALSE,American Indian,1,Female,3.0,14,0.5502884485117466,0.6556922185631848,NA,NA
0.29926083563998773,0.3816493512321025,12,15,15,FALSE,White,1,Female,9.0,15,0.29926083563998773,0.3816493512321025,NA,NA
0.4396170080677104,0.4240180206127642,11,16,16,FALSE,White,1,Female,18.0,16,0.4396170080677104,0.4240180206127642,NA,NA
0.295789780316723,0.4017624382022205,11,17,17,FALSE,White,1,Male,5.0,17,0.295789780316723,0.4017624382022205,NA,NA
0.35122669058369166,0.6184992459353129,9,18,18,FALSE,White,1,Male,8.0,18,0.35122669058369166,0.6184992459353129,NA,NA
0.20362315291357935,0.5595723663737224,11,19,19,FALSE,White,1,Female,20.0,19,0.20362315291357935,0.5595723663737224,NA,NA
0.4492038514399545,0.5664864705254925,10,20,20,FALSE,Other,1,Female,17.0,20,0.4492038514399545,0.5664864705254925,NA,NA
0.37832741715417567,0.6878893218507987,9,21,21,FALSE,White,1,Female,12.0,21,0.37832741715417567,0.6878893218507987,NA,NA
0.2973074207721136,0.5500626683205875,10,22,22,FALSE,White,1,Female,11.0,22,0.2973074207721136,0.5500626683205875,NA,NA
0.28874068008793113,0.6092647593384164,11,23,23,FALSE,White,1,Female,16.0,23,0.28874068008793113,0.6092647593384164,NA,NA
0.2958942062873019,0.6223298973717247,12,24,24,FALSE,White,1,Male,9.0,24,0.2958942062873019,0.6223298973717247,NA,NA
0.39787025919181174,0.6538496461125,9,25,25,FALSE,White,1,Female,8.0,25,0.39787025919181174,0.6538496461125,NA,NA
0.31519077281455354,0.43624394706376407,11,26,26,FALSE,White,1,Male,16.0,26,0.31519077281455354,0.43624394706376407,NA,NA
0.23383804172498532,0.3265929870477323,11,27,27,FALSE,White,1,Male,1.0,27,0.23383804172498532,0.3265929870477323,NA,NA
0.2457970098605517,0.5873250242896075,11,28,28,FALSE,White,1,Male,16.0,28,0.2457970098605517,0.5873250242896075,NA,NA
0.33404822113414867,0.06740032850544424,9,29,29,FALSE,Asian,1,Male,0.0,29,0.33404822113414867,0.06740032850544424,NA,NA
0.47259624328194355,0.7284352323178399,11,30,30,FALSE,White,1,Female,8.0,30,0.47259624328194355,0.7284352323178399,NA,NA
0.4449824405425894,0.65972301711106,10,31,31,FALSE,White,1,Male,16.0,31,0.4449824405425894,0.65972301711106,NA,NA
